# lab: final
# world: escenario_complejo.wbt
# use_preloaded_map: True
# control_source: kalman
# grid_cell_m: 0.05
# grid_inflation_m: 0.06
# explore_seconds: 60.0
# waypoint_tolerance_m: 0.04
# heading_kp: 2.5
# Ts_s: 0.016
# fs_Hz: 62.5
# safe_distance_m: 0.15
# ema_alpha: 0.25
# kalman_P0: 0.05
# kalman_Q: 0.0001
# kalman_R: 0.005
# wheel_radius_m: 0.0205
# axle_length_m: 0.0573
# robot_x0_m: -1.375
# robot_y0_m: -1.375
# robot_theta0_rad: 1.5707963267948966
# goal_x_m: 1.375
# goal_y_m: 1.375
# goal_tolerance_m: 0.05
k,time_s,Ts_s,fs_Hz,phase,state,turn_dir,turn_travelled_wheel_rad,turn_target_wheel_rad,backup_remaining,waypoint_idx,waypoints_total,x_m,y_m,theta_rad,dist_to_goal_m,enc_left_rad,enc_right_rad,d_left_rad,d_right_rad,delta_s_m,delta_theta_rad,cmd_left_vel,cmd_right_vel,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,front_left_m,front_right_m,front_raw_m,front_ema_m,front_kalman_m,front_used_m,side_left_m,side_right_m,side_left_raw,side_right_raw
1548,24.768,0.016,62.5,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,9,91,-1.375,-0.9916122800000476,1.5707963267948966,3.6281336364372003,18.70184,18.70184,0.01256000000000057,0.01256000000000057,0.0002574800000000117,0.0,0.8118100440829816,0.8118100440829816,67.41816482528723,64.59007666738293,66.46007478346235,65.76905281063185,67.19017542089001,68.14102392290236,67.88654382306326,63.7484757857961,0.1970429173829831,0.1968726925496083,0.1968726925496083,0.1967665324405044,0.19499348626587176,0.19499348626587176,0.19683916148795133,0.19691713520291557,68.14102392290236,66.46007478346235
1549,24.784,0.016,62.5,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,9,91,-1.375,-0.9913548000000476,1.5707963267948966,3.6279656888514347,18.7144,18.7144,0.01256000000000057,0.01256000000000057,0.0002574800000000117,0.0,0.8087807084427178,0.8087807084427178,59.91101997283354,63.54044538218628,71.65642130293574,63.79654696941709,67.80721648353438,63.042090581816225,67.93486288774899,67.07377926359447,0.19688866746580005,0.19722092436649455,0.19688866746580005,0.19679706619682832,0.19501967205197193,0.19501967205197193,0.19684872462190617,0.19667609373838923,67.93486288774899,71.65642130293574
1550,24.8,0.016,62.5,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,9,91,-1.375,-0.9910973200000477,1.5707963267948966,3.6277977517650304,18.72696,18.72696,0.012559999999997018,0.012559999999997018,0.0002574799999999389,0.0,0.8057625792714084,0.8057625792714084,61.98531218318502,73.47679641288512,70.71343612864344,74.482707768898,66.18429658977026,65.42545420101321,65.32139272606597,66.0321006076661,0.1969369875206405,0.19712470475712765,0.1969369875206405,0.19683204652778136,0.19504877456957742,0.19504877456957742,0.1969651278568866,0.19659165251014452,65.42545420101321,73.47679641288512
1551,24.816,0.016,62.5,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,9,91,-1.375,-0.9908398400000477,1.5707963267948966,3.627629825179445,18.73952,18.73952,0.01256000000000057,0.01256000000000057,0.0002574800000000117,0.0,0.8026261953448592,0.8026261953448592,65.88504864074169,68.22818088440023,76.4653029877718,63.22571676026614,65.96733184866378,66.42319630581879,66.22812867254876,70.06884834589,0.19674973603864282,0.19694380877887185,0.19674973603864282,0.19681146890549672,0.19504936715381507,0.19504936715381507,0.19691884587448596,0.19645302549617272,66.42319630581879,76.4653029877718
1552,24.832,0.016,62.5,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,9,91,-1.375,-0.9905823600000476,1.5707963267948966,3.6274619090961373,18.75208,18.75208,0.01256000000000057,0.01256000000000057,0.0002574800000000117,0.0,0.7995180474455391,0.7995180474455391,68.92834419716648,64.25146994424533,70.47042638886238,63.812060833994586,68.62704663136978,70.0950810825931,68.11934932872748,67.65333883671212,0.196861783598883,0.19680264028382286,0.19680264028382286,0.19680926175007826,0.1950568530793848,0.1950568530793848,0.19674851918806333,0.19673110815090727,70.0950810825931,70.47042638886238
1553,24.848,0.016,62.5,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,9,91,-1.375,-0.9903248800000476,1.5707963267948966,3.627294003516566,18.76464,18.76464,0.01256000000000057,0.01256000000000057,0.0002574800000000117,0.0,0.7964062541430684,0.7964062541430684,68.90337954668423,64.91165745596136,65.69163597765628,67.11128938050578,64.55761051779072,69.44171570055373,65.772111532723,65.64725286365936,0.19695483934470331,0.19680379831204345,0.19680379831204345,0.19680789589056955,0.19506350514964282,0.19506350514964282,0.19677882666428098,0.1969527805576771,69.44171570055373,65.69163597765628
1554,24.864,0.016,62.5,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,9,91,-1.375,-0.9900674000000476,1.5707963267948966,3.62712610844219,18.7772,18.7772,0.01256000000000057,0.01256000000000057,0.0002574800000000117,0.0,0.7932307886075707,0.7932307886075707,71.31278739629147,67.78698404080708,65.9597881258492,67.71853652559926,69.20046854940813,67.54939326902618,67.56071053356021,64.37800527992783,0.197013715575394,0.1966920337877697,0.1966920337877697,0.19677893036486957,0.19505455293606078,0.19505455293606078,0.1968660803219296,0.19685558423638835,67.56071053356021,67.78698404080708
1555,24.88,0.016,62.5,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,9,91,-1.375,-0.9898099200000475,1.5707963267948966,3.6269582238744675,18.78976,18.78976,0.01256000000000057,0.01256000000000057,0.0002574800000000117,0.0,0.7901705247808033,0.7901705247808033,66.38708532743196,66.28904615409802,64.28429197949944,62.19320409510934,73.77281051744677,69.51683116918271,70.25068868240717,66.86463547014989,0.1968983689601249,0.19692052094428417,0.1968983689601249,0.1968087900136834,0.19507397010339728,0.19507397010339728,0.1967413010620954,0.1969250686598441,70.25068868240717,66.28904615409802
1556,24.896,0.016,62.5,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,9,91,-1.375,-0.9895524400000475,1.5707963267948966,3.6267903498148577,18.80232,18.80232,0.01256000000000057,0.01256000000000057,0.0002574800000000117,0.0,0.7870287462973679,0.7870287462973679,69.72605623137106,72.39180945042163,64.61145044819222,71.59936325562677,62.31275809340578,70.3325757559904,61.226300215182874,59.42606547660363,0.19724341981431773,0.19676563704004874,0.19676563704004874,0.19679800177027473,0.19507333790556344,0.19507333790556344,0.1967375025894438,0.19664198149521972,70.3325757559904,72.39180945042163
1557,24.912,0.016,62.5,NAV_TO_GOAL,WAYPOINT_FOLLOW,,0.0,2.1952836469596964,0,9,91,-1.375,-0.9892949600000476,1.5707963267948966,3.62662248626482,18.81488,18.81488,0.012559999999997018,0.012559999999997018,0.0002574799999999389,0.0,0.7838964032768326,0.7838964032768326,69.35638070543489,64.4807966158152,65.12353545891787,67.2429363499749,67.67404947922584,61.079906696149166,67.69648616695504,67.04757612500934,0.19688988294341997,0.1967827850746991,0.1967827850746991,0.19679419759638084,0.19507504868842018,0.19507504868842018,0.1968597821358102,0.19697913287666152,67.69648616695504,65.12353545891787
